change_id,file_name,record_name,change_type,date,submitted_by,source,reason,swatplus_version,editor_version,review_status,notes
ext-pathogens.pth,pathogens.pth,*,added,2026-07-24,maintainer,W:\mydocs_temp\modular_swatplus\data\ceap_connectivity test\pathogens.pth,Added expected file from external source (no approved Ames/OSU bootstrap source available),not_applicable,not_applicable,needs_review,Example/seed bacteria properties supplied by maintainer; origin not independently reproducible. Values need curation before being treated as authoritative.
ext-metals.mtl,metals.mtl,*,added,2026-07-24,maintainer,W:\Arnold\SWAT_PLUS_USERS\Ames_sub1 _cs\metals.mtl,Added expected file from external source (no approved Ames/OSU bootstrap source available),not_applicable,not_applicable,needs_review,Example heavy-metal database (single 'lead' row) supplied by maintainer; origin not independently reproducible. Example grade - needs curation before authoritative use.
ext-salt.slt,salt.slt,*,added,2026-07-24,maintainer,W:\mydocs_temp\modular_swatplus\data\ceap_connectivity test\salt.slt,Added expected file from external source (no approved Ames/OSU bootstrap source available),not_applicable,not_applicable,imported,Salt input parameters (TDS/EC factor and solubility products) supplied by maintainer; origin not independently reproducible.
ext-flo_con.dtl,flo_con.dtl,*,added,2026-07-24,maintainer,biopsichas/soft_cal_crop_paper,Added expected file from external source (no approved Ames/OSU bootstrap source available),not_applicable,not_applicable,imported,Flow-control decision table from a published model (soft_cal_crop_paper). Reproducible: fetchable from the recorded public commit.
ext-scen_lu.dtl,scen_lu.dtl,*,added,2026-07-24,maintainer,M:\Constructor\HUC8_models\models\12070204.accdb (HUC8 12070204 model; land-use/channel scenario decision tables generated 2025-02-14),Added expected file from external source (no approved Ames/OSU bootstrap source available),not_applicable,not_applicable,imported,"Land-use and channel change-scenario decision tables (historical channel/land-use evolution, CEAP surface vulnerability index, conservation practice scenarios) supplied by the maintainer from an internal NAM (National Assessment Model) HUC8 project run; origin not independently reproducible."
mod-pesticide.pes-pl_uptake,pesticide.pes,*,modified,2026-07-26,maintainer,"swat-model/swatplus @ 62.0.0, pesticide_data_module.f90 (type pesticide_db); cross-checked against pest_parm_read.f90; schema comparison via swatplus-doc-builder schemas/swatplus-62.0.0.json","pesticide.pes was missing the pl_uptake column that SWAT+ 62 reads (the file predates the column; header: SWAT+ Editor 2.2.0, SWAT+ rev.60.5.4). Because SWAT+ reads each record with list-directed I/O over the whole pesticide_db type, the missing column caused the read to consume the next record's tokens -- a real defect, not just a formatting gap. Added pl_uptake to all 233 records as an explicit 0.0 'unknown, assume no uptake' placeholder, deliberately distinct from the SWAT+ Editor's own migration default of 0.01 for this column, so it cannot be mistaken for a real measured value. Manifest status set to needs_review pending SWAT+-team-approved per-pesticide values; tracked in metadata/schema_drift_waivers.json.",62.0.0,not_applicable,needs_review,Structural schema drift is resolved (columns/types now match SWAT+ 62); the placeholder-value concern remains and is not something automated validation can detect.
mod-pathogens.pth-drop-swf,pathogens.pth,*,modified,2026-07-27,maintainer,"swat-model/swatplus @ 62.0.0, pathogen_data_module.f90 (type pathogen_db) and path_parm_read.f90; cross-checked against https://tugraskan.github.io/swatplus-enhanced-docs/reference/input-reference/pth/ and swatplus-doc-builder schemas/swatplus-62.0.0.json","pathogens.pth carried an extra column 'SWF' at position 17 (before CONC_MIN) that is not a field of SWAT+ 62's pathogen_db. Because SWAT+ reads each record with list-directed I/O and SWF sat before the end of the 18-field read set, every record's SWF value was silently read into conc_min and the real CONC_MIN value was dropped -- wrong values with no error, not merely a formatting gap. Removed SWF from the header and all 3 records. No value was invented: this is a column removal, not a data addition. The file's remaining values are still the original Little River Experimental Watershed example/seed set and are unaffected by this change; needs_review status is retained for that separate, still-unresolved reason (no real source available).",62.0.0,not_applicable,needs_review,Structural schema drift is resolved (columns/types now match SWAT+ 62's pathogen_db). Property values remain example/seed data pending a real source.
mod-flo_con.dtl-divert-keyword,flo_con.dtl,*,modified,2026-07-27,maintainer,"swat-model/swatplus @ 62.0.0, actions.f90:759 (case (""divert"") with sub-options flo_cms/min_cms/max_cms/all_flo/zero_flo/frac, matching this file's option column exactly); swatplus-doc-builder schemas/swatplus-62.0.0.json","act_typ was 'flow_control' on all 7 action rows across all 3 decision tables (mef_div, bolgare_div, bolgare_div_new); that string has zero matches anywhere in the SWAT+ 62 source, searched case-insensitively across the whole tree. The file's own option values (min_cms, all_flo) match exactly and uniquely the sub-options under actions.f90's divert case. Corrected act_typ to 'divert'. No value was invented -- this is a keyword correction. Before this fix none of this file's actions executed under SWAT+ 62.",62.0.0,not_applicable,approved,"Verified conds/alts/acts counts and decision-table structure unchanged after the fix; schema_sync.py has no coverage for decision tables, so this was confirmed by direct source inspection."
mod-scen_lu.dtl-action-keywords,scen_lu.dtl,*,modified,2026-07-27,maintainer,"swat-model/swatplus @ 62.0.0, actions.f90:1197 (chan_change, sets sd_ch%cov/%order from const/const2 -- matches this file's const values 0.2-0.95) and actions.f90:362 (till); conditions.f90:672 (tillage as a valid COND_VAR, left unchanged)","Two act_typ values did not exist in SWAT+ 62: 'ch_change' (all 8 occurrences, all in ACT_TYP blocks) corrected to 'chan_change'; 'tillage' corrected to 'till' on the single row using it as an ACT_TYP (ceap_scenarios table, mulch_till row) -- the separate COND_VAR usage of 'tillage' (same table, spring_plow/fall_plow condition rows) is a different, already-valid vocabulary and was left unchanged. A third value, 'ceap_svi', has zero matches anywhere in the mainline source and was NOT changed: no plausible replacement could be identified, and this file's own provenance is an internal NAM model run that may use SWAT+ source beyond mainline. See docs/editor_integration_findings.md and the review note in metadata/schema_drift_waivers.json.",62.0.0,not_applicable,needs_review,"needs_review because ceap_svi remains unresolved, not because the two corrected keywords are in doubt. Decision-table structure (13 tables, conds/alts/acts counts) verified unchanged after the fix."
mod-plants.plt-pl_class-relabel,plants.plt,*,modified,2026-07-27,maintainer,"swat-model/swatplus @ 62.0.0, plant_data_module.f90 (pl_class declaration), plant_parm_read.f90:54-57 (conditional read), basin_module.f90:24 (bsn_cc%nam1, documented ""not used"", default 0)","The last column was labeled 'description' in the header; SWAT+ 62 calls this position 'pl_class', a small category vocabulary, read into a separate array only when bsn_cc%nam1 /= 0. Renamed the header and FILE_SCHEMAS to 'pl_class' to reflect what SWAT+ actually calls this field. No data values were changed: the 126 committed values remain per-plant descriptive names, not pl_class categories. Harmless under the default/mainline path (nam1 defaults to 0, column is unread trailing text either way).",62.0.0,not_applicable,needs_review,"needs_review only in the sense that real pl_class category values have not been sourced; this is a label correction, not a data-quality flag on the file overall."
